Beam Width,Penalty Weight,Accuracy,Mean Nodes,Plain Beam Accuracy,Gain vs Plain Beam,p-value
3,0.0,26.90%,14.60,26.90%,+0.00%,nan
3,0.05,26.40%,14.67,26.90%,-0.50%,7.134e-01
3,0.1,28.30%,14.51,26.90%,+1.40%,3.200e-01
3,0.15,26.50%,14.61,26.90%,-0.40%,7.707e-01
3,0.2,24.40%,14.74,26.90%,-2.50%,5.443e-02
3,0.3,24.60%,14.75,26.90%,-2.30%,8.910e-02
5,0.0,33.40%,20.64,33.40%,+0.00%,nan
5,0.05,32.50%,20.63,33.40%,-0.90%,5.415e-01
5,0.1,35.00%,20.69,33.40%,+1.60%,2.809e-01
5,0.15,35.30%,20.29,33.40%,+1.90%,2.014e-01
5,0.2,34.10%,20.51,33.40%,+0.70%,6.395e-01
5,0.3,33.60%,20.46,33.40%,+0.20%,8.928e-01
8,0.0,43.30%,26.63,43.30%,+0.00%,nan
8,0.05,43.60%,26.47,43.30%,+0.30%,8.436e-01
8,0.1,44.10%,26.68,43.30%,+0.80%,5.680e-01
8,0.15,43.40%,26.30,43.30%,+0.10%,9.459e-01
8,0.2,45.50%,26.62,43.30%,+2.20%,1.540e-01
8,0.3,43.00%,26.56,43.30%,-0.30%,8.430e-01
