Graph Size,Beam Width,Baseline Acc,FAGS-Top1 Acc,Beam Acc,Beam Mean Nodes,RRB Acc (budget-matched),RRB Mean Nodes,Beam vs Baseline Gain,Beam vs Baseline p,Beam vs RRB Gain,Beam vs RRB p
Small,1,5.10%,16.40%,19.90%,4.00,5.00%,4.83,+14.80%,4.820e-29,+14.90%,1.151e-28
Small,2,5.10%,16.40%,29.10%,5.32,6.40%,6.07,+24.00%,8.561e-58,+22.70%,9.644e-53
Small,3,5.10%,16.40%,33.20%,5.90,6.80%,6.55,+28.10%,7.629e-72,+26.40%,8.369e-67
Small,5,5.10%,16.40%,40.10%,6.67,7.80%,7.40,+35.00%,6.972e-95,+32.30%,1.061e-86
Small,8,5.10%,16.40%,42.30%,7.36,5.40%,8.04,+37.20%,4.976e-103,+36.90%,5.401e-102
Medium,1,4.30%,8.90%,10.10%,6.44,5.70%,7.73,+5.80%,1.069e-09,+4.40%,6.475e-06
Medium,2,4.30%,8.90%,17.20%,11.20,6.60%,12.23,+12.90%,2.658e-28,+10.60%,1.173e-18
Medium,3,4.30%,8.90%,22.70%,15.05,5.80%,15.96,+18.40%,1.596e-44,+16.90%,1.861e-37
Medium,5,4.30%,8.90%,29.90%,21.11,6.80%,21.94,+25.60%,3.527e-66,+23.10%,8.254e-57
Medium,8,4.30%,8.90%,37.40%,27.85,8.20%,28.54,+33.10%,2.764e-89,+29.20%,1.870e-73
Large,1,8.80%,13.80%,11.50%,6.44,10.80%,7.87,+2.70%,1.327e-03,+0.70%,4.682e-01
Large,2,8.80%,13.80%,18.80%,11.37,12.10%,12.88,+10.00%,5.291e-21,+6.70%,5.778e-10
Large,3,8.80%,13.80%,21.30%,16.16,11.30%,17.58,+12.50%,1.012e-27,+10.00%,7.823e-18
Large,5,8.80%,13.80%,24.10%,25.28,13.90%,26.28,+15.30%,1.547e-35,+10.20%,7.085e-20
Large,8,8.80%,13.80%,26.50%,38.54,14.70%,38.99,+17.70%,1.121e-42,+11.80%,6.995e-24
