Graph Size,Beam Width,Aggregation,Diversity Penalty,Accuracy,Mean Nodes,"Baseline Accuracy (mean, dpw=0)",Gain vs Baseline,p-value
Small,5,mean,0.0,40.60%,6.71,40.60%,+0.00%,nan
Small,5,mean,0.05,40.50%,6.72,40.60%,-0.10%,8.528e-01
Small,5,mean,0.1,41.00%,6.85,40.60%,+0.40%,4.145e-01
Small,5,mean,0.2,41.20%,6.83,40.60%,+0.60%,2.395e-01
Small,5,sum,0.0,39.90%,6.75,40.60%,-0.70%,2.369e-01
Small,5,sum,0.05,40.00%,6.74,40.60%,-0.60%,3.176e-01
Small,5,sum,0.1,40.60%,6.72,40.60%,+0.00%,1.000e+00
Small,5,sum,0.2,40.40%,6.84,40.60%,-0.20%,7.318e-01
Small,8,mean,0.0,42.40%,7.39,42.40%,+0.00%,nan
Small,8,mean,0.05,42.60%,7.38,42.40%,+0.20%,3.176e-01
Small,8,mean,0.1,42.50%,7.41,42.40%,+0.10%,5.640e-01
Small,8,mean,0.2,43.20%,7.41,42.40%,+0.80%,1.134e-02
Small,8,sum,0.0,42.20%,7.30,42.40%,-0.20%,4.145e-01
Small,8,sum,0.05,42.40%,7.33,42.40%,+0.00%,1.000e+00
Small,8,sum,0.1,42.40%,7.41,42.40%,+0.00%,1.000e+00
Small,8,sum,0.2,42.80%,7.42,42.40%,+0.40%,1.025e-01
Medium,5,mean,0.0,29.40%,21.23,29.40%,+0.00%,nan
Medium,5,mean,0.05,29.50%,21.30,29.40%,+0.10%,9.391e-01
Medium,5,mean,0.1,30.30%,21.32,29.40%,+0.90%,5.084e-01
Medium,5,mean,0.2,30.40%,21.54,29.40%,+1.00%,4.753e-01
Medium,5,sum,0.0,28.20%,21.32,29.40%,-1.20%,3.576e-01
Medium,5,sum,0.05,31.60%,20.95,29.40%,+2.20%,9.155e-02
Medium,5,sum,0.1,28.90%,21.41,29.40%,-0.50%,7.104e-01
Medium,5,sum,0.2,28.30%,21.28,29.40%,-1.10%,4.164e-01
Medium,8,mean,0.0,36.00%,28.01,36.00%,+0.00%,nan
Medium,8,mean,0.05,39.40%,27.67,36.00%,+3.40%,2.063e-02
Medium,8,mean,0.1,38.80%,28.07,36.00%,+2.80%,4.655e-02
Medium,8,mean,0.2,37.80%,28.54,36.00%,+1.80%,2.100e-01
Medium,8,sum,0.0,37.80%,27.70,36.00%,+1.80%,1.798e-01
Medium,8,sum,0.05,36.80%,28.09,36.00%,+0.80%,5.719e-01
Medium,8,sum,0.1,37.60%,27.92,36.00%,+1.60%,2.484e-01
Medium,8,sum,0.2,38.50%,27.84,36.00%,+2.50%,6.165e-02
Large,5,mean,0.0,24.60%,25.22,24.60%,+0.00%,nan
Large,5,mean,0.05,23.40%,25.39,24.60%,-1.20%,1.276e-01
Large,5,mean,0.1,22.90%,25.50,24.60%,-1.70%,3.214e-02
Large,5,mean,0.2,20.80%,25.89,24.60%,-3.80%,2.002e-05
Large,5,sum,0.0,24.40%,25.24,24.60%,-0.20%,7.996e-01
Large,5,sum,0.05,24.60%,25.18,24.60%,+0.00%,1.000e+00
Large,5,sum,0.1,23.90%,25.31,24.60%,-0.70%,3.541e-01
Large,5,sum,0.2,24.00%,25.37,24.60%,-0.60%,4.798e-01
Large,8,mean,0.0,26.20%,38.64,26.20%,+0.00%,nan
Large,8,mean,0.05,27.50%,38.16,26.20%,+1.30%,1.015e-01
Large,8,mean,0.1,26.70%,38.42,26.20%,+0.50%,5.416e-01
Large,8,mean,0.2,25.50%,38.86,26.20%,-0.70%,4.633e-01
Large,8,sum,0.0,27.30%,38.26,26.20%,+1.10%,1.381e-01
Large,8,sum,0.05,26.90%,38.28,26.20%,+0.70%,3.704e-01
Large,8,sum,0.1,26.70%,38.52,26.20%,+0.50%,5.475e-01
Large,8,sum,0.2,26.30%,38.69,26.20%,+0.10%,9.069e-01
