Graph Size,Beam Width,Beam Acc,Beam Nodes,MCTS Acc,Hybrid Acc,Hybrid Nodes,Hybrid vs Beam Gain,Hybrid vs Beam p,Hybrid vs MCTS Gain,Hybrid vs MCTS p
Small,2,30.00%,5.29,27.60%,22.00%,5.05,-8.00%,2.726e-04,-5.60%,5.003e-03
Small,3,32.80%,6.02,31.20%,25.20%,5.67,-7.60%,2.707e-04,-6.00%,1.165e-03
Small,5,41.00%,6.77,29.40%,29.20%,6.34,-11.80%,7.355e-13,-0.20%,9.082e-01
Small,8,42.40%,7.34,29.00%,29.20%,6.49,-13.20%,1.372e-16,+0.20%,9.127e-01
Small,15,42.60%,7.91,29.80%,29.60%,6.62,-13.00%,2.448e-16,-0.20%,9.117e-01
Small,25,42.80%,8.09,29.40%,29.40%,6.68,-13.40%,2.480e-17,+0.00%,1.000e+00
Small,40,43.20%,8.26,32.00%,27.60%,6.74,-15.60%,3.750e-20,-4.40%,1.887e-02
Medium,2,18.20%,11.12,14.20%,8.00%,11.88,-10.20%,1.921e-06,-6.20%,8.465e-04
Medium,3,21.40%,15.16,16.40%,12.40%,15.27,-9.00%,1.901e-04,-4.00%,4.111e-02
Medium,5,30.60%,21.04,24.60%,24.00%,20.07,-6.60%,9.168e-03,-0.60%,7.994e-01
Medium,8,36.60%,28.09,31.20%,33.20%,25.73,-3.40%,1.582e-01,+2.00%,4.052e-01
Medium,15,49.40%,36.46,33.40%,38.80%,32.18,-10.60%,5.505e-05,+5.40%,2.581e-02
Medium,25,58.20%,41.88,40.40%,44.40%,35.67,-13.80%,9.077e-08,+4.00%,7.940e-02
Medium,40,63.80%,45.24,40.60%,43.60%,38.58,-20.20%,7.662e-16,+3.00%,2.164e-01
Large,2,16.20%,11.56,12.00%,4.60%,12.92,-11.60%,7.738e-09,-7.40%,2.522e-06
Large,3,19.80%,16.34,12.80%,4.40%,16.29,-15.40%,2.905e-13,-8.40%,5.600e-07
Large,5,23.60%,25.51,14.20%,13.80%,25.69,-9.80%,5.020e-08,-0.40%,8.058e-01
Large,8,26.20%,38.75,16.60%,22.00%,38.60,-4.20%,5.301e-03,+5.40%,1.518e-03
Large,15,29.60%,67.65,21.80%,25.20%,64.38,-4.40%,1.376e-02,+3.40%,7.151e-02
Large,25,32.00%,102.68,25.40%,32.00%,93.43,+0.00%,1.000e+00,+6.60%,2.620e-03
Large,40,36.80%,142.23,29.40%,34.40%,127.51,-2.40%,3.040e-01,+5.00%,3.643e-02
