Graph Size,Beam Width,Beam Acc,Beam Nodes,Best-First Acc,Best-First Nodes,Best-First - Beam Gain,p-value
Small,2,30.00%,5.29,13.10%,5.08,-16.90%,2.743e-22
Small,3,33.80%,5.94,15.00%,5.72,-18.80%,7.310e-29
Small,5,39.10%,6.81,18.40%,6.51,-20.70%,3.619e-41
Small,8,42.10%,7.37,19.00%,7.11,-23.10%,2.443e-57
Medium,2,17.50%,11.16,8.40%,10.85,-9.10%,3.448e-09
Medium,3,21.90%,15.04,9.60%,14.41,-12.30%,2.849e-13
Medium,5,28.40%,21.34,11.40%,20.16,-17.00%,4.599e-21
Medium,8,37.30%,27.84,15.80%,26.14,-21.50%,1.027e-28
Large,2,17.20%,11.50,0.90%,11.47,-16.30%,9.096e-37
Large,3,20.70%,16.19,1.40%,16.11,-19.30%,8.498e-43
Large,5,23.70%,25.27,2.40%,25.03,-21.30%,7.980e-45
Large,8,26.10%,38.65,3.10%,38.20,-23.00%,1.671e-48
