Graph Size,Beam Width,Max Children/Parent,Accuracy,Mean Nodes,Plain Beam Accuracy,Gain vs Plain Beam,p-value
Small,5,uncapped,40.60%,6.71,40.60%,+0.00%,nan
Small,5,1,41.70%,6.88,40.60%,+1.10%,3.420e-02
Small,5,2,40.50%,6.75,40.60%,-0.10%,8.695e-01
Small,5,3,40.00%,6.72,40.60%,-0.60%,3.430e-01
Small,8,uncapped,42.20%,7.37,42.20%,+0.00%,nan
Small,8,1,42.80%,7.44,42.20%,+0.60%,1.423e-02
Small,8,2,42.30%,7.41,42.20%,+0.10%,6.549e-01
Small,8,3,42.70%,7.33,42.20%,+0.50%,2.527e-02
Medium,5,uncapped,29.40%,21.23,29.40%,+0.00%,nan
Medium,5,1,28.80%,21.71,29.40%,-0.60%,6.791e-01
Medium,5,2,29.40%,21.47,29.40%,+0.00%,1.000e+00
Medium,5,3,29.10%,21.35,29.40%,-0.30%,8.144e-01
Medium,8,uncapped,35.70%,28.02,35.70%,+0.00%,nan
Medium,8,1,39.90%,28.25,35.70%,+4.20%,7.837e-03
Medium,8,2,37.90%,28.23,35.70%,+2.20%,1.198e-01
Medium,8,3,38.80%,27.80,35.70%,+3.10%,2.043e-02
Large,5,uncapped,24.60%,25.22,24.60%,+0.00%,nan
Large,5,1,19.20%,26.32,24.60%,-5.40%,4.608e-07
Large,5,2,22.80%,25.54,24.60%,-1.80%,3.383e-02
Large,5,3,24.70%,25.17,24.60%,+0.10%,8.965e-01
Large,8,uncapped,27.00%,38.37,27.00%,+0.00%,nan
Large,8,1,21.80%,40.36,27.00%,-5.20%,8.784e-06
Large,8,2,24.90%,38.90,27.00%,-2.10%,1.524e-02
Large,8,3,26.70%,38.34,27.00%,-0.30%,7.142e-01
